state,state_tribal_other_agencies,unit_office,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition_1,rape_legacy_definition_2,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson3
,Tonkawa Tribal,,0,0,0,,0,0,12,1,11,0,2
,Wyandotte Nation,,6,0,0,,1,5,46,2,40,4,0
OKLAHOMA–Other Agencies,Jenks Public Schools,,1,0,0,,0,1,21,0,20,1,0
,McAlester Public Schools,,0,0,0,,0,0,0,0,0,0,0
,Putnam City Campus,,1,0,0,,0,1,13,2,11,0,0
OREGON–State Agencies,Liquor Commission:,Baker County,0,0,0,,0,0,0,0,0,0,0
,,Benton County,0,0,0,,0,0,0,0,0,0,0
,,Clackamas County,0,0,0,,0,0,0,0,0,0,0
,,Clatsop County,0,0,0,,0,0,0,0,0,0,0
,,Coos County,0,0,0,,0,0,0,0,0,0,0
,,Crook County,0,0,0,,0,0,0,0,0,0,0
,,Deschutes County,0,0,0,,0,0,0,0,0,0,0
,,Douglas County,0,0,0,,0,0,0,0,0,0,0
,,Hood River County,0,0,0,,0,0,0,0,0,0,0
,,Jackson County,0,0,0,,0,0,0,0,0,0,0
,,Klamath County,0,0,0,,0,0,0,0,0,0,0
,,Lane County,0,0,0,,0,0,0,0,0,0,0
,,Lincoln County,0,0,0,,0,0,0,0,0,0,0
,,Marion County,0,0,0,,0,0,0,0,0,0,0
,,Multnomah County,0,0,0,,0,0,0,0,0,0,0
,,Polk County,0,0,0,,0,0,0,0,0,0,0
,,Umatilla County,0,0,0,,0,0,0,0,0,0,0
,,Washington County,0,0,0,,0,0,0,0,0,0,0
,State Police: ,Baker County,1,0,1,,0,0,0,0,0,0,0
,,Benton County,3,0,2,,0,1,236,5,229,2,2
,,Clackamas County,11,0,0,,2,9,24,0,13,11,1
,,Clatsop County,12,0,0,,0,12,6,0,5,1,0
,,Columbia County,3,0,0,,0,3,6,0,5,1,1
,,Coos County,14,0,0,,0,14,33,1,30,2,1
,,Crook County,1,0,0,,0,1,1,0,1,0,0
,,Curry County,3,0,0,,0,3,17,0,15,2,1
,,Deschutes County,17,0,0,,0,17,13,1,10,2,1
,,Douglas County,12,0,0,,0,12,19,1,17,1,0
,,Gilliam County,1,0,0,,0,1,3,0,3,0,0
,,Grant County,3,0,0,,0,3,4,0,3,1,0
,,Harney County,3,0,2,,0,1,3,1,2,0,0
,,Hood River County,4,0,0,,0,4,3,0,3,0,1
,,Jackson County,20,1,1,,0,18,24,1,11,12,3
,,Jefferson County,6,0,0,,0,6,2,0,1,1,0
,,Josephine County,59,2,4,,1,52,35,9,15,11,12
,,Klamath County,26,4,2,,0,20,30,2,19,9,1
,,Lake County,1,0,0,,0,1,1,0,1,0,0
,,Lane County,23,0,1,,1,21,54,7,43,4,1
,,Lincoln County,4,0,0,,0,4,17,0,16,1,0
,,Linn County,17,0,0,,0,17,18,0,13,5,0
,,Malheur County,13,1,0,,0,12,4,0,3,1,0
,,Marion County,41,0,1,,0,40,83,5,56,22,0
,,Morrow County,2,0,0,,0,2,2,0,2,0,0
,,Multnomah County,5,0,0,,0,5,14,1,10,3,0
,,Polk County,3,2,0,,0,1,3,0,2,1,0
,,Sherman County,6,0,0,,1,5,3,0,2,1,0
,,Tillamook County,1,0,0,,0,1,21,1,16,4,0
,,Umatilla County,19,0,2,,1,16,10,0,10,0,2
,,Union County,3,0,0,,0,3,3,0,2,1,0
,,Wallowa County,1,0,0,,0,1,1,0,1,0,0
,,Wasco County,2,0,1,,0,1,7,0,3,4,1
,,Washington County,1,0,0,,0,1,4,0,3,1,0
,,Wheeler County,0,0,0,,0,0,0,0,0,0,0
,,Yamhill County,5,0,1,,1,3,2,0,2,0,0
OREGON–Tribal Agencies,Grand Ronde Tribal,,6,0,1,,3,2,71,6,62,3,0
OREGON–Other Agencies,Port of Portland,,3,0,1,,0,2,484,1,425,58,1
PENNSYLVANIA–State Agencies,Bureau of Forestry:,Adams County,0,0,0,,0,0,0,0,0,0,0
,,Allegheny County,0,0,0,,0,0,0,0,0,0,0
,,Armstrong County,0,0,0,,0,0,0,0,0,0,0
,,Beaver County,0,0,0,,0,0,0,0,0,0,1
,,Bedford County,0,0,0,,0,0,0,0,0,0,3
,,Berks County,0,0,0,,0,0,0,0,0,0,6
,,Blair County,0,0,0,,0,0,0,0,0,0,1
,,Bradford County,0,0,0,,0,0,0,0,0,0,0
,,Bucks County,0,0,0,,0,0,0,0,0,0,0
,,Butler County,0,0,0,,0,0,0,0,0,0,0
,,Cambria County,0,0,0,,0,0,0,0,0,0,1
,,Cameron County,0,0,0,,0,0,0,0,0,0,0
,,Carbon County,0,0,0,,0,0,0,0,0,0,7
,,Centre County,0,0,0,,0,0,0,0,0,0,4
,,Chester County,0,0,0,,0,0,0,0,0,0,0
,,Clarion County,0,0,0,,0,0,0,0,0,0,0
,,Clearfield County,0,0,0,,0,0,0,0,0,0,8
,,Clinton County,0,0,0,,0,0,0,0,0,0,3
,,Columbia County,0,0,0,,0,0,0,0,0,0,4
,,Crawford County,0,0,0,,0,0,0,0,0,0,1
,,Cumberland County,0,0,0,,0,0,0,0,0,0,4
,,Dauphin County,6,1,1,,2,2,5,1,1,3,1
,,Delaware County,0,0,0,,0,0,0,0,0,0,0
,,Elk County,0,0,0,,0,0,0,0,0,0,1
,,Erie County,0,0,0,,0,0,0,0,0,0,3
,,Fayette County,0,0,0,,0,0,0,0,0,0,5
,,Forest County,0,0,0,,0,0,0,0,0,0,1
,,Franklin County,0,0,0,,0,0,0,0,0,0,2
,,Fulton County,0,0,0,,0,0,0,0,0,0,0
,,Greene County,0,0,0,,0,0,0,0,0,0,1
,,Huntingdon County,0,0,0,,0,0,0,0,0,0,13
,,Indiana County,0,0,0,,0,0,0,0,0,0,3
,,Jefferson County,0,0,0,,0,0,0,0,0,0,0
,,Juniata County,0,0,0,,0,0,0,0,0,0,0
,,Lackawanna County,0,0,0,,0,0,0,0,0,0,8
,,Lancaster County,0,0,0,,0,0,0,0,0,0,0
,,Lawrence County,0,0,0,,0,0,0,0,0,0,3
,,Lebanon County,0,0,0,,0,0,0,0,0,0,0
,,Lehigh County,0,0,0,,0,0,0,0,0,0,1
,,Luzerne County,0,0,0,,0,0,0,0,0,0,35
,,Lycoming County,0,0,0,,0,0,0,0,0,0,0
,,McKean County,0,0,0,,0,0,0,0,0,0,0
,,Mercer County,0,0,0,,0,0,0,0,0,0,0
,,Mifflin County,0,0,0,,0,0,0,0,0,0,1
,,Monroe County,0,0,0,,0,0,0,0,0,0,3
,,Montgomery County,0,0,0,,0,0,0,0,0,0,0
,,Montour County,0,0,0,,0,0,0,0,0,0,2
,,Northampton County,0,0,0,,0,0,0,0,0,0,0
,,Northumberland County,0,0,0,,0,0,0,0,0,0,5
,,Perry County,0,0,0,,0,0,0,0,0,0,1
,,Philadelphia County,0,0,0,,0,0,0,0,0,0,0
,,Pike County,0,0,0,,0,0,0,0,0,0,5
,,Potter County,0,0,0,,0,0,0,0,0,0,1
,,Schuylkill County,0,0,0,,0,0,0,0,0,0,18
,,Snyder County,0,0,0,,0,0,0,0,0,0,1
,,Somerset County,0,0,0,,0,0,0,0,0,0,0
,,Sullivan County,0,0,0,,0,0,0,0,0,0,0
,,Susquehanna County,0,0,0,,0,0,0,0,0,0,0
,,Tioga County,0,0,0,,0,0,0,0,0,0,0
,,Union County,0,0,0,,0,0,0,0,0,0,2
,,Venango County,0,0,0,,0,0,0,0,0,0,0
,,Warren County,0,0,0,,0,0,0,0,0,0,3
,,Washington County,0,0,0,,0,0,0,0,0,0,0
,,Wayne County,0,0,0,,0,0,0,0,0,0,2
,,Westmoreland County,0,0,0,,0,0,0,0,0,0,18
,,Wyoming County,0,0,0,,0,0,0,0,0,0,1
,,York County,0,0,0,,0,0,0,0,0,0,0
,Bureau of Narcotics:,Allegheny County,0,0,0,,0,0,0,0,0,0,0
,,Armstrong County,0,0,0,,0,0,0,0,0,0,0
,,Beaver County,0,0,0,,0,0,0,0,0,0,0
,,Bedford County,0,0,0,,0,0,0,0,0,0,0
,,Berks County,0,0,0,,0,0,0,0,0,0,0
,,Blair County,0,0,0,,0,0,0,0,0,0,0
,,Bradford County,0,0,0,,0,0,0,0,0,0,0
,,Bucks County,0,0,0,,0,0,0,0,0,0,0
,,Butler County,0,0,0,,0,0,0,0,0,0,0
,,Cambria County,1,0,0,,0,1,0,0,0,0,0
,,Cameron County,0,0,0,,0,0,0,0,0,0,0
,,Carbon County,0,0,0,,0,0,0,0,0,0,0
,,Centre County,0,0,0,,0,0,0,0,0,0,0
,,Chester County,0,0,0,,0,0,0,0,0,0,0
,,Clarion County,0,0,0,,0,0,0,0,0,0,0
,,Clearfield County,0,0,0,,0,0,0,0,0,0,0
,,Clinton County,0,0,0,,0,0,0,0,0,0,0
,,Columbia County,0,0,0,,0,0,0,0,0,0,0
,,Crawford County,0,0,0,,0,0,0,0,0,0,0
,,Delaware County,0,0,0,,0,0,0,0,0,0,0
,,Elk County,0,0,0,,0,0,0,0,0,0,0
,,Erie County,0,0,0,,0,0,0,0,0,0,0
,,Fayette County,0,0,0,,0,0,0,0,0,0,0
,,Forest County,0,0,0,,0,0,0,0,0,0,0
,,Greene County,0,0,0,,0,0,0,0,0,0,0
,,Huntingdon County,0,0,0,,0,0,0,0,0,0,0
,,Indiana County,0,0,0,,0,0,0,0,0,0,0
,,Jefferson County,0,0,0,,0,0,0,0,0,0,0
,,Juniata County,0,0,0,,0,0,0,0,0,0,0
,,Lackawanna County,0,0,0,,0,0,0,0,0,0,0
,,Lawrence County,0,0,0,,0,0,0,0,0,0,0
,,Lehigh County,0,0,0,,0,0,0,0,0,0,0
,,Luzerne County,0,0,0,,0,0,0,0,0,0,0
,,Lycoming County,0,0,0,,0,0,0,0,0,0,0
,,McKean County,0,0,0,,0,0,0,0,0,0,0
,,Mercer County,0,0,0,,0,0,0,0,0,0,0
,,Mifflin County,0,0,0,,0,0,0,0,0,0,0
,,Monroe County,0,0,0,,0,0,0,0,0,0,0
,,Montgomery County,0,0,0,,0,0,0,0,0,0,0
,,Montour County,0,0,0,,0,0,0,0,0,0,0
,,Northampton County,0,0,0,,0,0,0,0,0,0,0
,,Northumberland County,0,0,0,,0,0,0,0,0,0,0
,,Philadelphia County,0,0,0,,0,0,0,0,0,0,0
,,Pike County,0,0,0,,0,0,0,0,0,0,0
,,Potter County,0,0,0,,0,0,0,0,0,0,0
,,Schuylkill County,0,0,0,,0,0,0,0,0,0,0
,,Snyder County,0,0,0,,0,0,0,0,0,0,0
,,Somerset County,0,0,0,,0,0,0,0,0,0,0
,,Sullivan County,0,0,0,,0,0,0,0,0,0,0
,,Susquehanna County,0,0,0,,0,0,0,0,0,0,0
,,Tioga County,0,0,0,,0,0,0,0,0,0,0
,,Union County,0,0,0,,0,0,0,0,0,0,0
,,Venango County,0,0,0,,0,0,0,0,0,0,0
,,Warren County,0,0,0,,0,0,0,0,0,0,0
,,Washington County,0,0,0,,0,0,0,0,0,0,0
,,Wayne County,0,0,0,,0,0,0,0,0,0,0
,,Westmoreland County,1,0,0,,0,1,0,0,0,0,0
,,Wyoming County,0,0,0,,0,0,0,0,0,0,0
,State Park Rangers: ,Bald Eagle,0,0,0,,0,0,5,0,5,0,0
,,Beltzville,0,0,0,,0,0,5,0,5,0,0
,,Ben Rush,0,0,0,,0,0,0,0,0,0,0
,,Bendigo,0,0,0,,0,0,0,0,0,0,0
,,Blue Knob,0,0,0,,0,0,0,0,0,0,0
,,Caledonia,0,0,0,,0,0,1,0,1,0,0
,,Clear Creek,0,0,0,,0,0,0,0,0,0,0
,,Codorus,1,0,0,,1,0,13,1,12,0,0
,,Colonel Denning,0,0,0,,0,0,0,0,0,0,0
,,Cook Forest,0,0,0,,0,0,0,0,0,0,0
,,Cowans Gap,1,0,0,,0,1,6,3,3,0,0
,,Delaware Canal,1,0,0,,1,0,8,0,8,0,0
,,Fort Washington,0,0,0,,0,0,0,0,0,0,0
,,Frances Slocum,1,0,0,,1,0,6,0,6,0,0
,,Gifford Pinchot,0,0,0,,0,0,5,0,5,0,0
,,Greenwood Furnace,0,0,0,,0,0,0,0,0,0,0
,,Hills Creek,0,0,0,,0,0,0,0,0,0,0
,,Jacobsburg Environmental Education Center,0,0,0,,0,0,0,0,0,0,0
,,Jennings Environmental Education Center,0,0,0,,0,0,0,0,0,0,0
,,Keystone,1,0,0,,0,1,4,0,4,0,1
,,Kings Gap Environmental Education Center,0,0,0,,0,0,0,0,0,0,0
,,Kooser,0,0,0,,0,0,1,0,1,0,0
,,Laurel Hill,0,0,0,,0,0,3,0,3,0,0
,,Laurel Ridge,0,0,0,,0,0,2,1,1,0,0
,,Leonard Harrison,0,0,0,,0,0,2,0,2,0,0
,,Linn Run,0,0,0,,0,0,0,0,0,0,0
,,Little Buffalo,0,0,0,,0,0,0,0,0,0,0
,,Little Pine,0,0,0,,0,0,0,0,0,0,0
,,Lyman Run,0,0,0,,0,0,1,0,1,0,0
,,Maurice K. Goddard,0,0,0,,0,0,0,0,0,0,0
,,Memorial Lake,0,0,0,,0,0,0,0,0,0,0
,,Moraine,0,0,0,,0,0,11,1,10,0,0
,,Mount Pisgah,0,0,0,,0,0,0,0,0,0,0
,,Neshaminy,0,0,0,,0,0,0,0,0,0,0
,,Nockamixon,0,0,0,,0,0,5,0,5,0,0
,,Ohiopyle,0,0,0,,0,0,11,2,9,0,0
,,Oil Creek,0,0,0,,0,0,0,0,0,0,0
,,Pine Grove Furnace,0,0,0,,0,0,2,0,2,0,0
,,Point,1,0,0,,0,1,0,0,0,0,0
,,Presque Isle,0,0,0,,0,0,18,0,18,0,0
,,Prince Gallitzin,0,0,0,,0,0,2,0,1,1,0
,,Promised Land,0,0,0,,0,0,2,1,1,0,0
,,Pymatuning,0,0,0,,0,0,0,0,0,0,0
,,Reeds Gap,0,0,0,,0,0,0,0,0,0,0
,,Ricketts Glen,0,0,0,,0,0,0,0,0,0,0
,,Ridley Creek,0,0,0,,0,0,5,1,4,0,0
,,Samuel S. Lewis,0,0,0,,0,0,0,0,0,0,0
,,Shawnee,0,0,0,,0,0,0,0,0,0,0
,,Shikellamy,0,0,0,,0,0,8,1,6,1,0
,,Sinnemahoning,0,0,0,,0,0,0,0,0,0,0
,,Sizerville,0,0,0,,0,0,0,0,0,0,0
,,Susquehannock,0,0,0,,0,0,0,0,0,0,0
,,Tobyhanna,0,0,0,,0,0,0,0,0,0,0
,,Tyler,0,0,0,,0,0,0,0,0,0,0
,,White Clay,0,0,0,,0,0,0,0,0,0,0
,,Worlds End,0,0,0,,0,0,2,0,2,0,0
,,Yellow Creek,0,0,0,,0,0,8,0,8,0,0
,"State Police, Bureau of Criminal Investigation:",Adams County,1,0,1,,0,0,1,0,1,0,0
,,Allegheny County,0,0,0,,0,0,6,6,0,0,0
,,Armstrong County,0,0,0,,0,0,0,0,0,0,0
,,Beaver County,0,0,0,,0,0,1,0,1,0,0
,,Bedford County ,0,0,0,,0,0,0,0,0,0,0
,,Berks County,0,0,0,,0,0,0,0,0,0,0
,,Blair County,0,0,0,,0,0,0,0,0,0,0
,,Bradford County,0,0,0,,0,0,0,0,0,0,0
,,Bucks County,0,0,0,,0,0,0,0,0,0,0
,,Butler County,0,0,0,,0,0,0,0,0,0,0
,,Cambria County,0,0,0,,0,0,1,1,0,0,0
,,Cameron County ,0,0,0,,0,0,0,0,0,0,0
,,Carbon County ,0,0,0,,0,0,0,0,0,0,0
,,Centre County,0,0,0,,0,0,0,0,0,0,0
,,Chester County ,0,0,0,,0,0,0,0,0,0,0
,,Clarion County ,0,0,0,,0,0,0,0,0,0,0
,,Clearfield County,0,0,0,,0,0,0,0,0,0,0
,,Clinton County,0,0,0,,0,0,0,0,0,0,0
,,Columbia County,0,0,0,,0,0,0,0,0,0,0
,,Crawford County,0,0,0,,0,0,1,0,1,0,0
,,Cumberland County,0,0,0,,0,0,0,0,0,0,0
,,Dauphin County,0,0,0,,0,0,3,0,3,0,0
,,Delaware County,0,0,0,,0,0,0,0,0,0,0
,,Elk County,0,0,0,,0,0,0,0,0,0,0
,,Erie County,0,0,0,,0,0,0,0,0,0,0
,,Fayette County,0,0,0,,0,0,3,1,1,1,0
,,Forest County,0,0,0,,0,0,0,0,0,0,0
,,Franklin County,1,0,1,,0,0,0,0,0,0,0
,,Fulton County,0,0,0,,0,0,0,0,0,0,0
,,Greene County,0,0,0,,0,0,0,0,0,0,0
,,Huntingdon County,0,0,0,,0,0,0,0,0,0,0
,,Indiana County,0,0,0,,0,0,0,0,0,0,0
,,Jefferson County,0,0,0,,0,0,0,0,0,0,0
,,Juniata County,0,0,0,,0,0,0,0,0,0,0
,,Lackawanna County,0,0,0,,0,0,0,0,0,0,0
,,Lancaster County,0,0,0,,0,0,2,0,2,0,0
,,Lawrence County,0,0,0,,0,0,0,0,0,0,0
,,Lebanon County,0,0,0,,0,0,0,0,0,0,0
,,Lehigh County,0,0,0,,0,0,0,0,0,0,0
,,Luzerne County,0,0,0,,0,0,0,0,0,0,0
,,Lycoming County,0,0,0,,0,0,0,0,0,0,0
,,McKean County,0,0,0,,0,0,0,0,0,0,0
,,Mercer County,0,0,0,,0,0,1,0,1,0,0
,,Mifflin County,0,0,0,,0,0,1,0,1,0,0
,,Monroe County,0,0,0,,0,0,0,0,0,0,0
,,Montgomery County,0,0,0,,0,0,0,0,0,0,0
,,Montour County,0,0,0,,0,0,0,0,0,0,0
,,Northampton County,0,0,0,,0,0,0,0,0,0,0
,,Northumberland County,0,0,0,,0,0,0,0,0,0,0
,,Perry County,1,0,1,,0,0,0,0,0,0,0
,,Philadelphia County,0,0,0,,0,0,0,0,0,0,0
,,Pike County,0,0,0,,0,0,0,0,0,0,0
,,Potter County,0,0,0,,0,0,0,0,0,0,0
,,Schuylkill County,0,0,0,,0,0,0,0,0,0,0
,,Snyder County,0,0,0,,0,0,0,0,0,0,0
,,Somerset County,0,0,0,,0,0,0,0,0,0,0
,,Sullivan County,0,0,0,,0,0,0,0,0,0,0
,,Susquehanna County,0,0,0,,0,0,0,0,0,0,0
,,Tioga County,0,0,0,,0,0,0,0,0,0,0
,,Union County,0,0,0,,0,0,0,0,0,0,0
,,Venango County,0,0,0,,0,0,0,0,0,0,0
,,Warren County,0,0,0,,0,0,0,0,0,0,0
,,Washington County,0,0,0,,0,0,1,0,1,0,0
,,Wayne County,0,0,0,,0,0,0,0,0,0,0
,,Westmoreland County,0,0,0,,0,0,0,0,0,0,0
,,Wyoming County,0,0,0,,0,0,0,0,0,0,0
,,York County,0,0,0,,0,0,0,0,0,0,0
,State Police:,Adams County,91,0,29,,7,55,379,102,260,17,7
,,Allegheny County,22,0,0,,2,20,144,0,140,4,0
,,Armstrong County,34,0,9,,5,20,198,60,131,7,2
,,Beaver County,29,2,4,,2,21,141,57,78,6,0
,,Berks County,100,1,25,,17,57,676,216,430,30,14
,,Blair County,30,0,6,,4,20,143,39,98,6,1
,,Bradford County,57,2,31,,7,17,416,127,265,24,3
,,Bucks County,34,0,9,,6,19,338,53,277,8,1
,,Butler County,53,0,14,,2,37,451,114,317,20,2
,,Cambria County,23,2,2,,1,18,141,57,74,10,7
,,Cameron County,2,1,1,,0,0,32,7,24,1,0
,,Carbon County,32,0,10,,5,17,306,123,164,19,1
,,Centre County,52,1,18,,2,31,320,71,231,18,6
,,Chester County,130,1,27,,27,75,1427,307,1079,41,11
,,Clarion County,34,0,14,,1,19,356,48,299,9,0
,,Clearfield County,44,1,25,,5,13,395,91,286,18,3
,,Clinton County,33,0,6,,3,24,226,46,174,6,0
,,Columbia County,6,0,5,,0,1,118,34,83,1,1
,,Crawford County,33,0,7,,5,21,619,292,295,32,4
,,Cumberland County,57,0,25,,10,22,581,190,366,25,3
,,Delaware County,59,0,8,,8,43,773,80,655,38,0
,,Elizabethville,266,2,43,,14,207,802,171,598,33,10
,,Elk County,23,0,6,,0,17,152,37,107,8,8
,,Erie County,115,0,39,,24,52,1475,253,1182,40,3
,,Fayette County,205,4,53,,44,104,1828,523,1234,71,21
,,Franklin County,86,5,28,,16,37,1030,281,709,40,6
,,Fulton County,24,2,9,,1,12,150,41,107,2,1
,,Greene County,28,0,7,,10,11,306,74,208,24,2
,,Huntingdon County,50,1,13,,2,34,336,109,219,8,7
,,Indiana County,68,3,22,,15,28,744,138,574,32,4
,,Jefferson County,46,0,17,,0,29,203,45,145,13,3
,,Juniata County,20,0,5,,2,13,176,48,120,8,2
,,Lackawanna County,23,0,12,,3,8,96,35,52,9,10
,,Lancaster County,65,3,22,,13,27,634,256,342,36,4
,,Lawrence County,20,2,3,,1,14,206,72,117,17,7
,,Lebanon County,49,0,7,,8,34,329,76,228,25,2
,,Lehigh County,42,2,6,,8,26,785,133,615,37,13
,,Luzerne County,92,7,20,,13,52,630,136,479,15,12
,,Lycoming County,98,2,17,,12,67,447,115,306,26,0
,,McKean County,17,0,7,,0,10,108,31,74,3,1
,,Mercer County,34,1,10,,4,19,309,89,212,8,2
,,Mifflin County,8,0,3,,2,3,108,34,74,0,0
,,Monroe County,131,1,41,,24,65,1132,331,769,32,4
,,Montour County,7,0,2,,0,5,81,15,63,3,0
,,Northampton County,13,0,3,,1,9,279,63,206,10,0
,,Northumberland County,22,1,9,,2,10,194,68,114,12,1
,,Perry County,64,0,18,,8,38,356,103,232,21,3
,,Philadelphia County,22,0,0,,0,22,20,0,15,5,0
,,Pike County,62,0,28,,8,26,396,148,239,9,11
,,Potter County,20,0,9,,0,11,131,42,77,12,0
,,Schuylkill County6,,4,,,21,64,669,164,475,30,13
,,Skippack ,90,0,8,,5,77,475,109,348,18,13
,,Snyder County,19,3,2,,3,11,291,48,232,11,0
,,Somerset County,47,1,12,,2,32,536,143,372,21,3
,,Sullivan County,5,0,1,,0,4,52,27,23,2,0
,,Susquehanna County,50,1,12,,6,31,385,148,222,15,5
,,Tioga County,34,0,9,,10,15,291,76,201,14,0
,,Tionesta,35,0,5,,5,25,62,18,40,4,1
,,Union County,17,0,7,,0,10,214,31,171,12,0
,,Venango County,22,1,11,,2,8,246,45,195,6,0
,,Warren County,40,1,15,,2,22,263,87,164,12,3
,,Washington County,90,3,23,,20,44,729,191,507,31,15
,,Wayne County,50,0,24,,11,15,463,126,327,10,6
,,Westmoreland County,179,3,48,,32,96,1313,339,930,44,12
,,Wyoming County,27,0,10,,5,12,189,38,139,12,0
,,York County,178,4,21,,17,136,504,108,361,35,0
,State Capitol Police,,0,0,0,,0,0,28,3,25,0,0
PENNSYLVANIA—Other Agencies,Allegheny County District Attorney,Criminal Investigation Division,0,0,0,,0,0,53,0,53,0,1
,Allegheny County Housing Authority,,14,2,0,,3,9,21,2,18,1,0
,Allegheny County Port Authority,,88,0,2,,9,77,57,1,51,5,0
,County Detective:,Adams County,0,0,0,,0,0,1,0,1,0,0
,,Beaver County,0,0,0,,0,0,1,0,1,0,0
,,Berks County,156,0,1,,0,155,6,1,1,4,0
,,Bucks County,2,0,0,,0,2,5,0,5,0,0
,,Chester County,9,1,1,,1,6,6,0,6,0,0
,,Clarion County,2,0,0,,0,2,3,1,2,0,0
,,Cumberland County,0,0,0,,0,0,0,0,0,0,0
,,Lackawanna County,11,0,1,,0,10,0,0,0,0,0
,,Lebanon County,0,0,0,,0,0,0,0,0,0,0
,,Lehigh County,3,0,0,,3,0,77,11,0,66,0
,,Luzerne County,5,1,0,,0,4,0,0,0,0,0
,,McKean County,0,0,0,,0,0,8,0,8,0,0
,,Monroe County,61,0,0,,0,61,12,0,12,0,0
,,Montgomery County,4,0,1,,1,2,6,0,6,0,1
,,Montour County,0,0,0,,0,0,0,0,0,0,0
,,Pike County,0,0,0,,0,0,0,0,0,0,0
,,Schuylkill County,0,0,0,,0,0,3,0,3,0,0
,,Wayne County,2,0,0,,0,2,10,0,10,0,0
,,Westmoreland County,14,0,2,,0,12,68,0,68,0,0
,,Wyoming County,2,0,0,,0,2,8,0,8,0,0
,,York County,1,0,0,,0,1,7,0,3,4,0
,Delaware County Park,,26,0,0,,0,26,91,2,89,0,0
,Erie Municipal Airport Authority,,0,0,0,,0,0,0,0,0,0,0
,Franklin County Drug Task Force,,0,0,0,,0,0,1,0,1,0,0
,Harrisburg International Airport,,0,0,0,,0,0,7,0,6,1,0
,Lehigh Valley International Airport,,0,0,0,,0,0,14,0,6,8,0
,Westmoreland County Park,,13,0,0,,0,13,10,0,10,0,0
,Wyoming Area School District,,0,0,0,,0,0,0,0,0,0,0
RHODE ISLAND–State Agencies,Department of Environmental Management,,2,0,1,,0,1,27,3,24,0,0
,Rhode Island State Airport,,0,0,0,,0,0,27,0,21,6,0
,Rhode Island State Police Headquarters,,35,1,22,,1,11,80,1,63,16,1
,State Police:,Chepachet,8,0,8,,0,0,17,0,12,5,0
,,Hope Valley,5,1,1,,0,3,36,7,25,4,1
,,Lincoln,13,0,4,,2,7,58,0,28,30,0
,,Portsmouth,0,0,0,,0,0,0,0,0,0,0
,,Wickford,5,0,3,,1,1,36,9,23,4,0
SOUTH CAROLINA–State Agencies,Bureau of Protective Services,,1,0,0,,0,1,10,1,7,2,0
,Department of Mental Health,,5,0,1,,0,4,15,0,15,0,0
,Department of Natural Resources:,Abbeville County,0,0,0,,0,0,0,0,0,0,0
,,Aiken County,0,0,0,,0,0,0,0,0,0,0
,,Allendale County,0,0,0,,0,0,0,0,0,0,0
,,Anderson County,0,0,0,,0,0,0,0,0,0,0
,,Bamberg County,0,0,0,,0,0,0,0,0,0,0
,,Barnwell County,0,0,0,,0,0,0,0,0,0,0
,,Beaufort County,0,0,0,,0,0,0,0,0,0,0
,,Berkeley County,0,0,0,,0,0,0,0,0,0,0
,,Calhoun County,0,0,0,,0,0,0,0,0,0,0
,,Charleston County,0,0,0,,0,0,0,0,0,0,0
,,Cherokee County,0,0,0,,0,0,0,0,0,0,0
,,Chester County,0,0,0,,0,0,0,0,0,0,0
,,Chesterfield County,0,0,0,,0,0,0,0,0,0,0
,,Clarendon County,0,0,0,,0,0,0,0,0,0,0
,,Colleton County,0,0,0,,0,0,0,0,0,0,0
,,Darlington County,0,0,0,,0,0,0,0,0,0,0
,,Dillon County,0,0,0,,0,0,0,0,0,0,0
,,Dorchester County,0,0,0,,0,0,0,0,0,0,0
,,Edgefield County,0,0,0,,0,0,0,0,0,0,0
,,Fairfield County,0,0,0,,0,0,0,0,0,0,0
,,Florence County,0,0,0,,0,0,0,0,0,0,0
,,Georgetown County,0,0,0,,0,0,0,0,0,0,0
,,Greenville County,0,0,0,,0,0,0,0,0,0,0
,,Greenwood County,0,0,0,,0,0,0,0,0,0,0
,,Hampton County,0,0,0,,0,0,0,0,0,0,0
,,Horry County,0,0,0,,0,0,0,0,0,0,0
,,Jasper County,0,0,0,,0,0,0,0,0,0,0
,,Kershaw County,0,0,0,,0,0,0,0,0,0,0
,,Lancaster County,0,0,0,,0,0,0,0,0,0,0
,,Laurens County,0,0,0,,0,0,0,0,0,0,0
,,Lee County,0,0,0,,0,0,0,0,0,0,0
,,Lexington County,0,0,0,,0,0,0,0,0,0,0
,,Marion County,0,0,0,,0,0,0,0,0,0,0
,,Marlboro County,0,0,0,,0,0,0,0,0,0,0
,,McCormick County,0,0,0,,0,0,0,0,0,0,0
,,Newberry County,0,0,0,,0,0,0,0,0,0,0
,,Oconee County,0,0,0,,0,0,0,0,0,0,0
,,Orangeburg County,0,0,0,,0,0,0,0,0,0,0
,,Pickens County,0,0,0,,0,0,0,0,0,0,0
,,Richland County,0,0,0,,0,0,0,0,0,0,0
,,Saluda County,0,0,0,,0,0,0,0,0,0,0
,,Spartanburg County,0,0,0,,0,0,0,0,0,0,0
,,Sumter County,0,0,0,,0,0,0,0,0,0,0
,,Union County,0,0,0,,0,0,0,0,0,0,0
